mediaID,human,id,score
0b83000c-a686-4b17-9f56-7b6996a48080,0,0,0
0b83000c-a686-4b17-9f56-7b6996a48080,0,1,0
0a2b7eef-d4fa-4c11-bbf4-fefd93a89d7b,1,0,0.88
00fa51d9-cacb-4663-90b5-a0defcf1952b,0,0,0
0a3bce07-1059-45c6-8a23-458bc80d7527,1,0,0.88
0a3bce07-1059-45c6-8a23-458bc80d7527,1,1,0.88
0a5567ca-aed9-44cf-9e2d-4aaaac7076a2,1,0,0.58
0c2e0a31-f651-43b0-b08d-419b2e226218,0,0,0
0c01ff70-c377-4563-8135-5a3ceee64d77,1,0,0.99
0a3953a6-5c1b-4f37-a967-f8946fe22a86,0,0,0
00b416ca-1485-437c-9449-30deaf148c76,1,0,1.0
00b416ca-1485-437c-9449-30deaf148c76,1,1,1.0
0ab3fdf5-5a91-4ceb-9f5b-c9e99fd9b9fe,1,0,0.98
00a820a8-6f5d-4f65-b777-026d1b709e29,0,0,0
00b8b3d5-9e17-4795-ace0-23bcf45a1d80,0,0,0
0ab3a0e9-3a36-41ed-9371-9b8770a93815,1,0,0.74
0ab3a0e9-3a36-41ed-9371-9b8770a93815,1,1,0.74
00e9a01a-2078-4bb8-bc08-2d6e09f005f8,1,0,0.97
0a09493a-5a07-409b-8c5c-648674723a5f,0,0,0
00ed75e9-bf2d-4d2e-9f6a-cf751a5d6ddc,0,0,0
00ee5bba-c652-47eb-87fc-3f93b70fd9e8,0,0,0
0aaba50b-8525-4d12-88d3-3e318124692b,0,0,0
0aaba50b-8525-4d12-88d3-3e318124692b,0,1,0
0a81ec90-bd8e-4ee3-bbed-8205f07336a8,1,0,0.86
0a444a44-f580-4135-8990-c08b907791e0,0,0,0
0c84c87a-e1db-42b9-a6a5-4507d5653127,0,0,0
0c84c87a-e1db-42b9-a6a5-4507d5653127,0,1,0
0c84c87a-e1db-42b9-a6a5-4507d5653127,0,2,0
0bd20ba9-2eec-4886-bf43-69d8144a3183,0,0,0
0bd20ba9-2eec-4886-bf43-69d8144a3183,0,1,0
0c7f7580-0ea5-4a4f-bb5b-81c3e1e170fa,0,0,0
0b627c9f-1ce8-407a-8b36-95ec759f18bb,0,0,0
0a49e1ec-6b7b-4776-8816-19acffb659cf,0,0,0
0aac92fa-2eba-41d5-9596-94799022019e,0,0,0
0aac92fa-2eba-41d5-9596-94799022019e,0,1,0
0a7bc4f5-f3a7-4a7a-aadf-bb94acfc6440,1,0,0.93
0a7bc4f5-f3a7-4a7a-aadf-bb94acfc6440,1,1,0.62
0a7bc4f5-f3a7-4a7a-aadf-bb94acfc6440,1,2,0.62
0be7a592-4ba5-4ae1-a04d-acf6c619d52f,1,0,0.99
0a226081-77cd-4e89-b316-e94acae36e49,1,0,0.94
00c37151-8d78-4fd3-ad6d-bbd72b30686f,0,0,0
00c37151-8d78-4fd3-ad6d-bbd72b30686f,0,1,0
0aa0bd46-fe22-4268-8b96-2f0ce7bc5c3e,1,0,0.81
0b498691-cc67-46b9-98a0-6fe7ada2e7d6,0,0,0
0b498691-cc67-46b9-98a0-6fe7ada2e7d6,0,1,0
00cd226f-0b0b-4997-aaae-b4d07940b8ae,1,0,0.94
0b155d9a-8761-40dc-bfe1-7e6c1d577eac,0,0,0
0b69901c-b0a5-47e1-85ef-183af014dfc9,0,0,0
0bd81d10-6772-459c-a7c7-7642f5487751,0,0,0
0bd81d10-6772-459c-a7c7-7642f5487751,0,1,0
0a04bdca-8eb1-4caf-a119-27b907e86d51,0,0,0
0a67902c-ff64-4a33-8d79-c2f68ed9fa8d,1,0,0.95
0a67902c-ff64-4a33-8d79-c2f68ed9fa8d,1,1,0.6
0c7b1045-8e94-477d-a4a2-cb29a7e5756b,1,0,0.91
0c4b4536-4543-42c9-8224-d1e0e14650c0,1,0,0.92
0b18a3d6-e279-44ee-97fd-77530c06a622,0,0,0
0b688e17-3779-41de-ae42-e76af1070bff,0,0,0
00b77230-5fd7-4d20-871e-18e4c38261a0,0,0,0
0b92a480-cee9-466d-a4c9-d94cab4d17ed,0,0,0
0a4c767c-414d-4bf6-b72a-5eafe5f28267,0,0,0
0b742206-c4f5-45dd-8c6d-a2532297da7c,1,0,0.98
0bd2d9c0-89f2-44a0-b0fb-899ff1c44021,1,0,0.8
0a4028b8-02ef-44a6-a51b-aa1bc300cc4e,0,0,0
0a4028b8-02ef-44a6-a51b-aa1bc300cc4e,0,1,0
0a17e9d3-f798-44a2-9849-8a4a8d0a73b4,0,0,0
0b93df86-2375-42ef-805e-a7ebab1c803d,0,0,0
0b343e6b-6c0d-49b9-ab46-15609fbe1d04,1,0,0.99
0b9cd575-a119-440d-8144-63a2635eb9a4,0,0,0
00d9607a-e454-47f5-ae12-807a06b1b3ab,0,0,0
00d9607a-e454-47f5-ae12-807a06b1b3ab,0,1,0
00d9607a-e454-47f5-ae12-807a06b1b3ab,0,2,0
00d9607a-e454-47f5-ae12-807a06b1b3ab,0,3,0
